,do_nms,iou_threshold,score_threshold,filter_too_big,correct_box,true positive,false positive,false negative,Accuracy,Accuracy (correct bbox),Precision,Recall,F1
249,True,0.9,0.95,False,1,0,7,459,0.0,0.215,0.0,0.0,
248,True,0.9,0.95,True,1,0,1,465,0.0,0.215,0.0,0.0,
247,True,0.9,0.9,False,9,0,51,420,0.0,1.911,0.0,0.0,
246,True,0.9,0.9,True,5,0,6,461,0.0,1.071,0.0,0.0,
356,False,0.4,0.8,True,27,0,29,450,0.0,5.637,0.0,0.0,
359,False,0.4,0.9,False,15,0,58,420,0.0,3.138,0.0,0.0,
134,True,0.5,0.9,True,5,0,6,461,0.0,1.071,0.0,0.0,
360,False,0.4,0.95,True,1,0,1,465,0.0,0.215,0.0,0.0,
361,False,0.4,0.95,False,1,0,7,459,0.0,0.215,0.0,0.0,
362,False,0.4,0.99,True,0,0,0,466,0.0,0.0,,0.0,
363,False,0.4,0.99,False,0,0,0,466,0.0,0.0,,0.0,
244,True,0.9,0.8,True,16,0,17,450,0.0,3.426,0.0,0.0,
223,True,0.8,0.99,False,0,0,0,466,0.0,0.0,,0.0,
222,True,0.8,0.99,True,0,0,0,466,0.0,0.0,,0.0,
272,False,0.1,0.8,True,27,0,29,450,0.0,5.637,0.0,0.0,
274,False,0.1,0.9,True,10,0,11,461,0.0,2.119,0.0,0.0,
275,False,0.1,0.9,False,15,0,58,420,0.0,3.138,0.0,0.0,
276,False,0.1,0.95,True,1,0,1,465,0.0,0.215,0.0,0.0,
305,False,0.2,0.95,False,1,0,7,459,0.0,0.215,0.0,0.0,
304,False,0.2,0.95,True,1,0,1,465,0.0,0.215,0.0,0.0,
303,False,0.2,0.9,False,15,0,58,420,0.0,3.138,0.0,0.0,
302,False,0.2,0.9,True,10,0,11,461,0.0,2.119,0.0,0.0,
328,False,0.3,0.8,True,27,0,29,450,0.0,5.637,0.0,0.0,
330,False,0.3,0.9,True,10,0,11,461,0.0,2.119,0.0,0.0,
331,False,0.3,0.9,False,15,0,58,420,0.0,3.138,0.0,0.0,
332,False,0.3,0.95,True,1,0,1,465,0.0,0.215,0.0,0.0,
333,False,0.3,0.95,False,1,0,7,459,0.0,0.215,0.0,0.0,
334,False,0.3,0.99,True,0,0,0,466,0.0,0.0,,0.0,
335,False,0.3,0.99,False,0,0,0,466,0.0,0.0,,0.0,
300,False,0.2,0.8,True,27,0,29,450,0.0,5.637,0.0,0.0,
279,False,0.1,0.99,False,0,0,0,466,0.0,0.0,,0.0,
278,False,0.1,0.99,True,0,0,0,466,0.0,0.0,,0.0,
277,False,0.1,0.95,False,1,0,7,459,0.0,0.215,0.0,0.0,
221,True,0.8,0.95,False,1,0,7,459,0.0,0.215,0.0,0.0,
220,True,0.8,0.95,True,1,0,1,465,0.0,0.215,0.0,0.0,
219,True,0.8,0.9,False,9,0,51,420,0.0,1.911,0.0,0.0,
165,True,0.6,0.95,False,1,0,7,459,0.0,0.215,0.0,0.0,
163,True,0.6,0.9,False,9,0,51,420,0.0,1.911,0.0,0.0,
162,True,0.6,0.9,True,5,0,6,461,0.0,1.071,0.0,0.0,
160,True,0.6,0.8,True,16,0,17,450,0.0,3.426,0.0,0.0,
139,True,0.5,0.99,False,0,0,0,466,0.0,0.0,,0.0,
138,True,0.5,0.99,True,0,0,0,466,0.0,0.0,,0.0,
137,True,0.5,0.95,False,1,0,7,459,0.0,0.215,0.0,0.0,
136,True,0.5,0.95,True,1,0,1,465,0.0,0.215,0.0,0.0,
135,True,0.5,0.9,False,9,0,51,420,0.0,1.911,0.0,0.0,
306,False,0.2,0.99,True,0,0,0,466,0.0,0.0,,0.0,
414,False,0.6,0.9,True,10,0,11,461,0.0,2.119,0.0,0.0,
415,False,0.6,0.9,False,15,0,58,420,0.0,3.138,0.0,0.0,
416,False,0.6,0.95,True,1,0,1,465,0.0,0.215,0.0,0.0,
417,False,0.6,0.95,False,1,0,7,459,0.0,0.215,0.0,0.0,
418,False,0.6,0.99,True,0,0,0,466,0.0,0.0,,0.0,
419,False,0.6,0.99,False,0,0,0,466,0.0,0.0,,0.0,
164,True,0.6,0.95,True,1,0,1,465,0.0,0.215,0.0,0.0,
166,True,0.6,0.99,True,0,0,0,466,0.0,0.0,,0.0,
218,True,0.8,0.9,True,5,0,6,461,0.0,1.071,0.0,0.0,
167,True,0.6,0.99,False,0,0,0,466,0.0,0.0,,0.0,
216,True,0.8,0.8,True,16,0,17,450,0.0,3.426,0.0,0.0,
195,True,0.7,0.99,False,0,0,0,466,0.0,0.0,,0.0,
194,True,0.7,0.99,True,0,0,0,466,0.0,0.0,,0.0,
193,True,0.7,0.95,False,1,0,7,459,0.0,0.215,0.0,0.0,
192,True,0.7,0.95,True,1,0,1,465,0.0,0.215,0.0,0.0,
191,True,0.7,0.9,False,9,0,51,420,0.0,1.911,0.0,0.0,
190,True,0.7,0.9,True,5,0,6,461,0.0,1.071,0.0,0.0,
384,False,0.5,0.8,True,27,0,29,450,0.0,5.637,0.0,0.0,
386,False,0.5,0.9,True,10,0,11,461,0.0,2.119,0.0,0.0,
387,False,0.5,0.9,False,15,0,58,420,0.0,3.138,0.0,0.0,
388,False,0.5,0.95,True,1,0,1,465,0.0,0.215,0.0,0.0,
389,False,0.5,0.95,False,1,0,7,459,0.0,0.215,0.0,0.0,
390,False,0.5,0.99,True,0,0,0,466,0.0,0.0,,0.0,
391,False,0.5,0.99,False,0,0,0,466,0.0,0.0,,0.0,
188,True,0.7,0.8,True,16,0,17,450,0.0,3.426,0.0,0.0,
503,False,0.9,0.99,False,0,0,0,466,0.0,0.0,,0.0,
