do_nms,iou_threshold,score_threshold,filter_too_big,correct,correct_box,incorrect,undetected
True,0.0,0.68,False,2,6,80,461
True,0.0,0.69,True,6,25,4,516
True,0.0,0.69,False,2,6,80,461
True,0.0,0.7,True,6,25,3,516
True,0.0,0.7,False,2,6,78,462
True,0.0,0.71,True,5,22,3,519
True,0.0,0.71,False,2,6,77,463
True,0.0,0.72,True,5,21,3,520
True,0.0,0.72,False,2,6,77,463
True,0.0,0.73,True,5,21,3,520
True,0.0,0.73,False,2,6,77,463
True,0.0,0.74,True,5,21,3,520
True,0.0,0.74,False,2,6,77,463
True,0.0,0.75,True,5,21,3,520
True,0.0,0.75,False,2,6,77,463
True,0.0,0.76,True,5,20,3,521
True,0.0,0.76,False,2,6,77,463
True,0.0,0.77,True,4,20,2,522
True,0.0,0.77,False,2,6,77,463
True,0.0,0.78,True,4,16,1,527
True,0.0,0.78,False,2,6,76,464
True,0.0,0.79,True,4,15,1,528
True,0.0,0.79,False,2,6,76,464
True,0.0,0.8,True,3,14,1,530
True,0.0,0.8,False,2,6,76,464
True,0.0,0.81,True,3,12,1,532
True,0.0,0.81,False,2,6,74,466
True,0.0,0.82,True,3,10,1,534
True,0.0,0.82,False,2,6,71,469
True,0.0,0.83,True,3,9,1,535
True,0.0,0.83,False,2,6,69,471
True,0.0,0.84,True,3,8,1,536
True,0.0,0.84,False,2,6,68,472
True,0.0,0.85,True,3,7,1,537
True,0.0,0.85,False,2,6,64,476
True,0.0,0.86,True,2,7,1,538
True,0.0,0.86,False,2,6,62,478
True,0.0,0.87,True,2,6,1,539
True,0.0,0.87,False,2,6,59,481
True,0.0,0.88,True,2,6,1,539
True,0.0,0.88,False,2,5,54,487
True,0.0,0.89,True,2,6,1,539
True,0.0,0.89,False,2,5,53,488
True,0.0,0.9,True,1,6,1,540
True,0.0,0.9,False,1,5,47,495
True,0.0,0.91,True,1,4,1,542
True,0.0,0.91,False,1,4,40,503
True,0.0,0.92,True,1,2,1,544
True,0.0,0.92,False,1,2,36,509
True,0.0,0.93,True,0,1,1,546
True,0.0,0.93,False,0,1,33,514
True,0.0,0.94,True,0,1,0,546
True,0.0,0.94,False,0,1,27,519
True,0.0,0.95,True,0,0,0,547
True,0.0,0.95,False,0,0,22,525
True,0.0,0.96,True,0,0,0,547
True,0.0,0.96,False,0,0,13,534
True,0.0,0.97,True,0,0,0,547
True,0.0,0.97,False,0,0,6,541
True,0.0,0.98,True,0,0,0,547
True,0.0,0.98,False,0,0,1,546
True,0.0,0.99,True,0,0,0,547
True,0.0,0.99,False,0,0,0,547
True,0.0,1.0,True,0,0,0,547
True,0.0,1.0,False,0,0,0,547
True,0.1,0.0,True,35,353,16421,153
True,0.1,0.0,False,26,311,18711,199
True,0.1,0.01,True,33,317,14859,190
True,0.1,0.01,False,24,279,16718,232
True,0.1,0.02,True,30,279,11734,230
True,0.1,0.02,False,20,235,13277,278
True,0.1,0.03,True,27,246,8950,263
True,0.1,0.03,False,17,207,10341,308
True,0.1,0.04,True,24,217,6805,293
True,0.1,0.04,False,16,185,8067,329
True,0.1,0.05,True,24,195,5207,313
True,0.1,0.05,False,16,170,6363,343
True,0.1,0.06,True,24,181,4062,324
True,0.1,0.06,False,15,160,5124,352
True,0.1,0.07,True,23,174,3198,333
True,0.1,0.07,False,14,153,4168,359
True,0.1,0.08,True,22,167,2585,339
True,0.1,0.08,False,14,150,3497,361
True,0.1,0.09,True,22,158,2091,348
True,0.1,0.09,False,14,144,2947,366
True,0.1,0.1,True,21,151,1669,359
True,0.1,0.1,False,13,138,2488,373
True,0.1,0.11,True,20,138,1348,375
True,0.1,0.11,False,12,130,2123,381
True,0.1,0.12,True,19,134,1122,380
True,0.1,0.12,False,12,128,1859,382
True,0.1,0.13,True,17,124,961,392
True,0.1,0.13,False,10,121,1650,391
True,0.1,0.14,True,15,118,799,400
True,0.1,0.14,False,8,116,1442,397
True,0.1,0.15,True,13,112,692,408
True,0.1,0.15,False,7,114,1294,400
True,0.1,0.16,True,13,107,601,413
True,0.1,0.16,False,7,111,1190,402
True,0.1,0.17,True,12,103,504,417
True,0.1,0.17,False,7,107,1065,404
True,0.1,0.18,True,12,102,438,419
True,0.1,0.18,False,7,105,973,406
True,0.1,0.19,True,12,100,371,420
True,0.1,0.19,False,7,104,883,406
True,0.1,0.2,True,12,99,328,422
True,0.1,0.2,False,7,103,815,407
True,0.1,0.21,True,12,97,288,426
True,0.1,0.21,False,7,101,748,409
True,0.1,0.22,True,12,92,254,430
True,0.1,0.22,False,7,96,686,413
True,0.1,0.23,True,12,85,223,438
True,0.1,0.23,False,7,92,635,417
True,0.1,0.24,True,12,81,205,441
True,0.1,0.24,False,7,91,592,418
True,0.1,0.25,True,12,80,181,445
True,0.1,0.25,False,7,91,546,418
True,0.1,0.26,True,11,78,161,448
True,0.1,0.26,False,6,89,510,419
True,0.1,0.27,True,11,78,147,448
True,0.1,0.27,False,6,89,475,419
True,0.1,0.28,True,11,78,133,450
True,0.1,0.28,False,6,88,443,420
True,0.1,0.29,True,11,77,125,451
True,0.1,0.29,False,6,85,423,420
True,0.1,0.3,True,11,76,117,453
True,0.1,0.3,False,6,83,404,421
True,0.1,0.31,True,11,74,105,455
True,0.1,0.31,False,6,81,382,422
True,0.1,0.32,True,10,72,97,458
True,0.1,0.32,False,6,80,368,423
True,0.1,0.33,True,10,69,87,463
True,0.1,0.33,False,6,78,341,424
True,0.1,0.34,True,10,69,82,463
True,0.1,0.34,False,6,78,324,424
True,0.1,0.35,True,9,68,75,466
True,0.1,0.35,False,5,76,301,425
True,0.1,0.36,True,9,66,74,468
True,0.1,0.36,False,5,74,287,427
True,0.1,0.37,True,9,65,68,468
True,0.1,0.37,False,5,74,267,427
True,0.1,0.38,True,9,62,65,471
True,0.1,0.38,False,5,72,256,427
True,0.1,0.39,True,9,62,61,471
True,0.1,0.39,False,5,71,246,427
True,0.1,0.4,True,9,62,54,472
True,0.1,0.4,False,5,71,229,427
True,0.1,0.41,True,7,61,48,475
True,0.1,0.41,False,5,70,218,428
True,0.1,0.42,True,7,58,46,478
True,0.1,0.42,False,5,68,206,430
True,0.1,0.43,True,7,57,45,479
True,0.1,0.43,False,5,68,198,430
True,0.1,0.44,True,7,54,40,482
True,0.1,0.44,False,5,65,186,433
True,0.1,0.45,True,7,51,37,486
True,0.1,0.45,False,5,62,181,434
True,0.1,0.46,True,7,51,35,486
True,0.1,0.46,False,5,62,175,434
True,0.1,0.47,True,7,48,33,489
True,0.1,0.47,False,5,59,163,435
True,0.1,0.48,True,7,47,30,489
True,0.1,0.48,False,5,58,157,435
True,0.1,0.49,True,7,46,30,489
True,0.1,0.49,False,5,57,150,435
True,0.1,0.5,True,6,46,29,490
True,0.1,0.5,False,5,56,146,435
True,0.1,0.51,True,6,44,25,493
True,0.1,0.51,False,5,55,142,436
True,0.1,0.52,True,6,43,22,494
True,0.1,0.52,False,5,54,137,437
True,0.1,0.53,True,6,40,21,497
True,0.1,0.53,False,5,52,133,439
True,0.1,0.54,True,6,40,20,497
True,0.1,0.54,False,5,52,129,440
True,0.1,0.55,True,6,40,19,497
True,0.1,0.55,False,5,52,127,440
True,0.1,0.56,True,6,37,18,500
True,0.1,0.56,False,5,49,124,442
True,0.1,0.57,True,6,36,16,501
True,0.1,0.57,False,5,47,123,442
True,0.1,0.58,True,6,35,16,502
True,0.1,0.58,False,5,47,121,442
True,0.1,0.59,True,6,35,15,502
True,0.1,0.59,False,5,46,119,442
True,0.1,0.6,True,6,34,15,503
True,0.1,0.6,False,5,45,116,443
True,0.1,0.61,True,6,33,14,505
True,0.1,0.61,False,5,44,113,443
True,0.1,0.62,True,6,32,13,506
True,0.1,0.62,False,5,43,112,443
True,0.1,0.63,True,6,30,12,508
True,0.1,0.63,False,5,43,111,443
True,0.1,0.64,True,6,29,11,510
True,0.1,0.64,False,5,42,111,443
True,0.1,0.65,True,6,29,10,510
True,0.1,0.65,False,5,42,109,444
True,0.1,0.66,True,6,29,7,510
True,0.1,0.66,False,5,41,105,444
True,0.1,0.67,True,6,29,5,512
True,0.1,0.67,False,5,41,101,445
True,0.1,0.68,True,6,28,5,513
True,0.1,0.68,False,5,39,99,447
True,0.1,0.69,True,6,26,4,515
True,0.1,0.69,False,5,38,97,448
True,0.1,0.7,True,6,26,3,515
True,0.1,0.7,False,5,38,95,449
True,0.1,0.71,True,5,23,3,518
True,0.1,0.71,False,4,36,94,451
True,0.1,0.72,True,5,22,3,519
True,0.1,0.72,False,4,34,94,452
True,0.1,0.73,True,5,22,3,519
True,0.1,0.73,False,4,32,94,453
True,0.1,0.74,True,5,22,3,519
True,0.1,0.74,False,4,30,94,453
True,0.1,0.75,True,5,22,3,519
True,0.1,0.75,False,3,29,94,453
True,0.1,0.76,True,5,21,3,520
True,0.1,0.76,False,3,28,94,454
True,0.1,0.77,True,4,20,2,522
True,0.1,0.77,False,3,26,93,454
True,0.1,0.78,True,4,16,1,527
True,0.1,0.78,False,3,22,90,457
True,0.1,0.79,True,4,15,1,528
True,0.1,0.79,False,3,21,90,458
True,0.1,0.8,True,3,14,1,530
True,0.1,0.8,False,2,20,90,459
True,0.1,0.81,True,3,12,1,532
True,0.1,0.81,False,2,17,87,463
True,0.1,0.82,True,3,10,1,534
True,0.1,0.82,False,2,16,84,467
True,0.1,0.83,True,3,9,1,535
True,0.1,0.83,False,2,14,80,469
True,0.1,0.84,True,3,8,1,536
True,0.1,0.84,False,2,13,78,471
True,0.1,0.85,True,3,7,1,537
True,0.1,0.85,False,2,10,73,476
True,0.1,0.86,True,2,7,1,538
True,0.1,0.86,False,2,10,71,478
True,0.1,0.87,True,2,6,1,539
True,0.1,0.87,False,2,8,67,481
True,0.1,0.88,True,2,6,1,539
True,0.1,0.88,False,2,7,62,487
True,0.1,0.89,True,2,6,1,539
True,0.1,0.89,False,2,7,59,488
True,0.1,0.9,True,1,6,1,540
True,0.1,0.9,False,1,7,52,495
True,0.1,0.91,True,1,4,1,542
True,0.1,0.91,False,1,4,41,503
True,0.1,0.92,True,1,2,1,544
True,0.1,0.92,False,1,2,36,509
True,0.1,0.93,True,0,1,1,546
True,0.1,0.93,False,0,1,33,514
True,0.1,0.94,True,0,1,0,546
True,0.1,0.94,False,0,1,27,519
True,0.1,0.95,True,0,0,0,547
True,0.1,0.95,False,0,0,22,525
True,0.1,0.96,True,0,0,0,547
True,0.1,0.96,False,0,0,13,534
True,0.1,0.97,True,0,0,0,547
True,0.1,0.97,False,0,0,6,541
True,0.1,0.98,True,0,0,0,547
True,0.1,0.98,False,0,0,1,546
True,0.1,0.99,True,0,0,0,547
True,0.1,0.99,False,0,0,0,547
True,0.1,1.0,True,0,0,0,547
True,0.1,1.0,False,0,0,0,547
True,0.2,0.0,True,38,377,19398,126
True,0.2,0.0,False,31,378,23922,135
True,0.2,0.01,True,37,334,17272,170
True,0.2,0.01,False,30,333,21031,180
