do_nms,iou_threshold,score_threshold,filter_too_big,correct,correct_box,incorrect
False,0.4,0.01,False,722,4970,191299
False,0.4,0.02,True,424,2914,41871
False,0.4,0.02,False,519,3658,137340
False,0.4,0.05,True,205,1643,12480
False,0.4,0.05,False,267,2169,73610
False,0.4,0.1,True,72,802,3028
False,0.4,0.1,False,108,1147,38631
False,0.4,0.2,True,20,239,458
False,0.4,0.2,False,41,396,15305
False,0.4,0.3,True,10,98,140
False,0.4,0.3,False,21,174,7003
False,0.5,0.01,True,614,4110,72122
False,0.5,0.01,False,722,4970,191299
False,0.5,0.02,True,424,2914,41871
False,0.5,0.02,False,519,3658,137340
False,0.5,0.05,True,205,1643,12480
False,0.5,0.05,False,267,2169,73610
False,0.5,0.1,True,72,802,3028
False,0.5,0.1,False,108,1147,38631
False,0.5,0.2,True,20,239,458
False,0.5,0.2,False,41,396,15305
False,0.5,0.3,True,10,98,140
False,0.5,0.3,False,21,174,7003
False,0.6,0.01,True,614,4110,72122
False,0.6,0.01,False,722,4970,191299
False,0.6,0.02,True,424,2914,41871
False,0.6,0.02,False,519,3658,137340
False,0.6,0.05,True,205,1643,12480
False,0.6,0.05,False,267,2169,73610
False,0.6,0.1,True,72,802,3028
False,0.6,0.1,False,108,1147,38631
False,0.6,0.2,True,20,239,458
False,0.6,0.2,False,41,396,15305
False,0.6,0.3,True,10,98,140
False,0.6,0.3,False,21,174,7003
False,0.7,0.01,True,614,4110,72122
False,0.7,0.01,False,722,4970,191299
False,0.7,0.02,True,424,2914,41871
False,0.7,0.02,False,519,3658,137340
False,0.7,0.05,True,205,1643,12480
False,0.7,0.05,False,267,2169,73610
False,0.7,0.1,True,72,802,3028
False,0.7,0.1,False,108,1147,38631
False,0.7,0.2,True,20,239,458
False,0.7,0.2,False,41,396,15305
False,0.7,0.3,True,10,98,140
False,0.7,0.3,False,21,174,7003
False,0.8,0.01,True,614,4110,72122
False,0.8,0.01,False,722,4970,191299
False,0.8,0.02,True,424,2914,41871
False,0.8,0.02,False,519,3658,137340
False,0.8,0.05,True,205,1643,12480
False,0.8,0.05,False,267,2169,73610
False,0.8,0.1,True,72,802,3028
False,0.8,0.1,False,108,1147,38631
False,0.8,0.2,True,20,239,458
False,0.8,0.2,False,41,396,15305
False,0.8,0.3,True,10,98,140
False,0.8,0.3,False,21,174,7003
False,0.9,0.01,True,614,4110,72122
False,0.9,0.01,False,722,4970,191299
False,0.9,0.02,True,424,2914,41871
False,0.9,0.02,False,519,3658,137340
False,0.9,0.05,True,205,1643,12480
False,0.9,0.05,False,267,2169,73610
False,0.9,0.1,True,72,802,3028
False,0.9,0.1,False,108,1147,38631
False,0.9,0.2,True,20,239,458
False,0.9,0.2,False,41,396,15305
False,0.9,0.3,True,10,98,140
False,0.9,0.3,False,21,174,7003
